UDI,PRODUCT_ID,TYPE,AIR_TEMPERATURE_K,PROCESS_TEMPERATURE,ROTATIONAL_SPEED_RPM,TORQUE_NM,TOOL_WEAR_MIN,MACHINE_FAILURE,TWF,HDF,PWF,OSF,RNF
146,L47325,L,299,308,1513,34,172,0,0,0,0,0,0
147,H29560,H,299,308,1612,36,174,0,0,0,0,0,0
148,L47327,L,298,308,1515,40,179,0,0,0,0,0,0
149,M15008,M,298,308,1379,48,181,0,0,0,0,0,0
150,L47329,L,298,308,1473,40,184,0,0,0,0,0,0
151,L47330,L,298,308,1422,43,186,0,0,0,0,0,0
152,M15011,M,298,308,1463,38,188,0,0,0,0,0,0
153,M15012,M,298,308,1584,41,191,0,0,0,0,0,0
154,L47333,L,298,308,1850,27,194,0,0,0,0,0,0
155,L47334,L,298,308,1528,36,196,0,0,0,0,0,0
156,H29569,H,298,308,1987,20,198,0,0,0,0,0,0
157,M15016,M,298,308,1495,46,203,0,0,0,0,0,0
158,H29571,H,298,308,1478,44,206,0,0,0,0,0,0
159,M15018,M,298,308,1499,40,211,0,0,0,0,0,0
160,L47339,L,298,308,1471,47,214,0,0,0,0,0,0
161,L47340,L,298,308,1282,61,216,1,0,0,0,1,0
162,L47341,L,298,308,1412,52,218,1,0,0,0,1,0
163,L47342,L,298,308,1586,36,0,0,0,0,0,0,0
164,M15023,M,298,308,1468,44,2,0,0,0,0,0,0
165,M15024,M,299,308,1440,44,5,0,0,0,0,0,0
166,L47345,L,299,308,1733,26,8,0,0,0,0,0,0
167,H29580,H,298,308,1612,33,10,0,0,0,0,0,0
168,H29581,H,298,308,1458,43,15,0,0,0,0,0,0
169,L47348,L,298,308,1433,62,20,1,0,0,1,0,0
170,L47349,L,298,308,1318,59,22,0,0,0,0,0,0
171,M15030,M,298,308,1610,35,24,0,0,0,0,0,0
172,L47351,L,298,308,1462,51,27,0,0,0,0,0,0
173,M15032,M,298,308,1924,21,29,0,0,0,0,0,0
174,M15033,M,298,308,1591,34,32,0,0,0,0,0,0
175,L47354,L,298,308,1306,58,35,0,0,0,0,0,0
176,L47355,L,298,308,1382,44,37,0,0,0,0,0,0
177,L47356,L,298,308,1618,35,39,0,0,0,0,0,0
178,L47357,L,298,308,1988,21,41,0,0,0,0,0,0
179,L47358,L,298,308,1436,50,43,0,0,0,0,0,0
180,L47359,L,298,308,1304,50,45,0,0,0,0,0,0
181,L47360,L,298,308,1475,50,47,0,0,0,0,0,0
182,H29595,H,298,308,1824,24,49,0,0,0,0,0,0
183,M15042,M,298,308,1342,48,54,0,0,0,0,0,0
184,L47363,L,298,308,1485,41,57,0,0,0,0,0,0
185,L47364,L,298,308,1667,31,59,0,0,0,0,0,0
186,L47365,L,298,308,1446,38,61,0,0,0,0,0,0
187,L47366,L,298,308,1301,56,63,0,0,0,0,0,0
188,L47367,L,298,308,1379,43,65,0,0,0,0,0,0
189,L47368,L,298,309,1606,34,67,0,0,0,0,0,0
190,M15049,M,298,308,1539,43,69,0,0,0,0,0,0
191,L47370,L,298,308,1477,50,72,0,0,0,0,0,0
192,L47371,L,298,308,1666,35,74,0,0,0,0,0,0
193,H29606,H,298,308,1398,52,76,0,0,0,0,0,0
194,H29607,H,298,308,1678,35,81,0,0,0,0,0,0
195,M15054,M,298,309,2678,11,86,1,0,0,1,0,0
196,L47375,L,298,309,1453,43,89,0,0,0,0,0,0
197,H29610,H,298,309,1432,50,91,0,0,0,0,0,0
198,M15057,M,298,309,1527,41,96,0,0,0,0,0,0
199,L47378,L,298,309,1588,35,99,0,0,0,0,0,0
200,L47379,L,298,309,1433,47,101,0,0,0,0,0,0
201,L47380,L,298,309,1609,35,103,0,0,0,0,0,0
202,L47381,L,298,309,1575,41,105,0,0,0,0,0,0
203,M15062,M,298,309,1636,36,107,0,0,0,0,0,0
204,L47383,L,298,309,1490,38,110,0,0,0,0,0,0
205,L47384,L,298,309,1741,33,112,0,0,0,0,0,0
206,M15065,M,299,309,1344,53,114,0,0,0,0,0,0
207,L47386,L,299,309,1609,35,117,0,0,0,0,0,0
208,M15067,M,298,309,1421,61,119,1,0,0,1,0,0
209,L47388,L,298,309,1591,37,122,0,0,0,0,0,0
210,L47389,L,298,309,1477,44,124,0,0,0,0,0,0
211,L47390,L,298,309,1523,36,126,0,0,0,0,0,0
212,L47391,L,299,309,1575,34,128,0,0,0,0,0,0
213,H29626,H,298,309,1344,53,130,0,0,0,0,0,0
214,L47393,L,298,309,1386,45,135,0,0,0,0,0,0
215,M15074,M,298,309,1589,37,137,0,0,0,0,0,0
216,L47395,L,298,309,1548,40,140,0,0,0,0,0,0
217,L47396,L,298,309,1499,38,142,0,0,0,0,0,0
218,L47397,L,298,309,1664,32,144,0,0,0,0,0,0
219,L47398,L,298,309,1447,38,146,0,0,0,0,0,0
220,M15079,M,298,309,1434,46,148,0,0,0,0,0,0
221,L47400,L,298,309,1416,53,151,0,0,0,0,0,0
222,H29635,H,298,309,1827,24,153,0,0,0,0,0,0
223,L47402,L,298,309,1304,45,158,0,0,0,0,0,0
224,L47403,L,298,309,1569,34,160,0,0,0,0,0,0
225,L47404,L,298,309,1584,29,162,0,0,0,0,0,0
226,L47405,L,298,309,1362,54,164,0,0,0,0,0,0
227,L47406,L,298,308,1329,49,166,0,0,0,0,0,0
228,L47407,L,298,309,1539,36,168,0,0,0,0,0,0
229,M15088,M,298,309,1629,37,170,0,0,0,0,0,0
230,L47409,L,298,309,1538,32,173,0,0,0,0,0,0
231,L47410,L,298,309,1570,35,175,0,0,0,0,0,0
232,L47411,L,298,308,1408,43,177,0,0,0,0,0,0
233,L47412,L,298,308,1424,48,179,0,0,0,0,0,0
234,L47413,L,298,308,1512,35,181,0,0,0,0,0,0
235,L47414,L,298,308,1478,43,183,0,0,0,0,0,0
236,M15095,M,298,308,1680,34,185,0,0,0,0,0,0
237,L47416,L,298,308,1495,39,188,0,0,0,0,0,0
238,M15097,M,298,308,1552,37,190,0,0,0,0,0,0
239,L47418,L,298,308,1393,50,193,0,0,0,0,0,0
240,L47419,L,298,308,1611,31,195,0,0,0,0,0,0
241,M15100,M,298,308,1339,52,197,0,0,0,0,0,0
242,L47421,L,298,308,1777,24,200,0,0,0,0,0,0
243,L47422,L,298,308,1348,59,202,1,0,0,0,1,0
244,L47423,L,298,308,1442,44,204,0,0,0,0,0,0
245,M15104,M,298,308,1395,49,206,0,0,0,0,0,0
246,M15105,M,298,308,1627,31,209,0,0,0,0,0,0
247,L47426,L,298,308,1585,34,212,0,0,0,0,0,0
248,L47427,L,298,308,1469,46,214,0,0,0,0,0,0
249,L47428,L,298,308,1362,57,216,1,0,0,0,1,0
250,L47429,L,298,308,1405,56,218,1,0,0,0,1,0
251,L47430,L,298,308,1662,33,0,0,0,0,0,0,0
252,M15111,M,298,308,1466,43,2,0,0,0,0,0,0
253,L47432,L,298,308,1620,36,5,0,0,0,0,0,0
254,L47433,L,298,308,1357,48,7,0,0,0,0,0,0
255,L47434,L,298,308,1514,38,9,0,0,0,0,0,0
256,L47435,L,298,308,1489,40,11,0,0,0,0,0,0
257,L47436,L,298,308,1331,63,13,0,0,0,0,0,0
258,L47437,L,298,308,1615,30,15,0,0,0,0,0,0
259,L47438,L,298,308,1482,38,17,0,0,0,0,0,0
260,M15119,M,298,308,1420,64,19,1,0,0,1,0,0
261,M15120,M,298,308,1522,49,22,0,0,0,0,0,0
262,L47441,L,298,308,1654,32,25,0,0,0,0,0,0
263,M15122,M,298,308,1736,27,27,0,0,0,0,0,0
264,M15123,M,298,308,1587,32,30,0,0,0,0,0,0
265,L47444,L,298,308,1390,48,33,0,0,0,0,0,0
266,L47445,L,298,308,1454,37,35,0,0,0,0,0,0
267,H29680,H,298,308,1440,44,37,0,0,0,0,0,0
268,L47447,L,298,308,1954,21,42,0,0,0,0,0,0
269,H29682,H,298,308,1800,25,44,0,0,0,0,0,0
270,L47449,L,298,308,1524,37,49,0,0,0,0,0,0
271,H29684,H,298,308,1520,40,51,0,0,0,0,0,0
272,M15131,M,298,308,1452,41,56,0,0,0,0,0,0
273,L47452,L,298,308,1484,40,59,0,0,0,0,0,0
274,L47453,L,298,308,1426,46,61,0,0,0,0,0,0
275,L47454,L,298,308,1652,29,63,0,0,0,0,0,0
276,L47455,L,298,308,1401,55,65,0,0,0,0,0,0
277,M15136,M,298,308,1750,27,67,0,0,0,0,0,0
278,H29691,H,298,308,1479,51,70,0,0,0,0,0,0
279,M15138,M,298,308,1620,29,75,0,0,0,0,0,0
280,L47459,L,298,308,1819,23,78,0,0,0,0,0,0
281,M15140,M,298,308,1456,44,80,0,0,0,0,0,0
282,L47461,L,298,308,1626,37,83,0,0,0,0,0,0
283,M15142,M,298,308,1390,50,85,0,0,0,0,0,0
284,L47463,L,298,308,1469,43,88,0,0,0,0,0,0
285,L47464,L,298,308,2051,19,90,0,0,0,0,0,0
286,L47465,L,298,308,1568,36,92,0,0,0,0,0,0
287,L47466,L,298,308,1589,33,94,0,0,0,0,0,0
288,L47467,L,298,308,1805,32,96,0,0,0,0,0,0
289,H29702,H,298,308,1385,42,98,0,0,0,0,0,0
290,L47469,L,298,308,1436,47,103,0,0,0,0,0,0
291,L47470,L,298,308,1438,46,105,0,0,0,0,0,0
292,L47471,L,298,308,1473,43,107,0,0,0,0,0,0
293,L47472,L,298,308,1335,40,109,0,0,0,0,0,0
294,H29707,H,298,309,1392,45,111,0,0,0,0,0,0
295,M15154,M,298,309,1372,51,116,0,0,0,0,0,0
296,M15155,M,298,309,1716,31,119,0,0,0,0,0,0
297,L47476,L,298,309,1395,46,122,0,0,0,0,0,0
298,L47477,L,298,309,1713,25,124,0,0,0,0,0,0
299,H29712,H,298,309,2129,19,126,0,0,0,0,0,0
300,M15159,M,298,308,1567,36,131,0,0,0,0,0,0
301,L47480,L,298,308,1622,38,134,0,0,0,0,0,0
302,L47481,L,298,308,1740,27,136,0,0,0,0,0,0
303,H29716,H,298,308,1512,35,138,0,0,0,0,0,0
304,M15163,M,298,308,1479,44,143,0,0,0,0,0,0
305,L47484,L,298,308,1737,28,146,0,0,0,0,0,0
306,L47485,L,298,308,2129,19,148,0,0,0,0,0,0
307,L47486,L,298,308,1374,47,150,0,0,0,0,0,0
308,M15167,M,298,308,1579,37,152,0,0,0,0,0,0
309,L47488,L,298,309,1305,47,155,0,0,0,0,0,0
310,M15169,M,298,309,1449,41,157,0,0,0,0,0,0
311,H29724,H,298,309,1526,42,160,0,0,0,0,0,0
312,M15171,M,298,309,1453,44,165,0,0,0,0,0,0
313,L47492,L,298,309,1468,36,168,0,0,0,0,0,0
314,L47493,L,298,309,1313,51,170,0,0,0,0,0,0
315,M15174,M,298,309,1300,53,172,0,0,0,0,0,0
316,L47495,L,298,308,1646,41,175,0,0,0,0,0,0
317,L47496,L,298,308,1714,33,177,0,0,0,0,0,0
318,L47497,L,298,308,1685,28,179,0,0,0,0,0,0
319,L47498,L,298,308,1512,40,181,0,0,0,0,0,0
320,L47499,L,298,308,1612,32,183,0,0,0,0,0,0
321,H29734,H,298,308,1550,38,185,0,0,0,0,0,0
322,L47501,L,298,308,1518,33,190,0,0,0,0,0,0
323,L47502,L,298,309,1448,40,192,0,0,0,0,0,0
324,L47503,L,298,309,1561,46,194,0,0,0,0,0,0
325,M15184,M,298,309,1488,42,196,0,0,0,0,0,0
326,L47505,L,298,309,1699,28,199,0,0,0,0,0,0
327,L47506,L,298,309,1501,41,201,0,0,0,0,0,0
328,L47507,L,298,309,1373,57,203,1,0,0,0,1,0
329,H29742,H,298,308,1703,31,205,0,0,0,0,0,0
330,H29743,H,298,309,1720,30,210,0,0,0,0,0,0
331,M15190,M,298,308,1398,42,215,0,0,0,0,0,0
332,M15191,M,298,308,1391,52,218,0,0,0,0,0,0
333,M15192,M,298,308,1538,40,0,0,0,0,0,0,0
334,L47513,L,298,308,1647,31,3,0,0,0,0,0,0
335,M15194,M,298,308,1469,45,5,0,0,0,0,0,0
336,L47515,L,297,308,1749,26,8,0,0,0,0,0,0
337,M15196,M,298,308,1995,21,10,0,0,0,0,0,0
338,L47517,L,298,308,1742,28,13,0,0,0,0,0,0
339,L47518,L,298,308,1563,38,15,0,0,0,0,0,0
340,M15199,M,298,308,1713,32,17,0,0,0,0,0,0
341,L47520,L,297,308,1474,39,20,0,0,0,0,0,0
342,M15201,M,297,308,1530,33,22,0,0,0,0,0,0
343,L47522,L,297,308,1471,47,25,0,0,0,0,0,0
344,L47523,L,298,308,1388,49,27,0,0,0,0,0,0
345,M15204,M,298,308,2448,14,29,0,0,0,0,0,0
346,L47525,L,298,308,1585,33,32,0,0,0,0,0,0
347,M15206,M,298,308,1459,45,34,0,0,0,0,0,0
348,L47527,L,298,308,1544,41,37,0,0,0,0,0,0
349,L47528,L,298,308,1617,32,39,0,0,0,0,0,0
350,L47529,L,298,308,1595,34,41,0,0,0,0,0,0
351,H29764,H,298,308,1400,44,43,0,0,0,0,0,0
352,M15211,M,298,308,1611,31,48,0,0,0,0,0,0
353,M15212,M,298,308,1507,46,51,0,0,0,0,0,0
354,H29767,H,298,308,1674,30,54,0,0,0,0,0,0
355,L47534,L,298,308,1658,34,59,0,0,0,0,0,0
356,L47535,L,298,308,1623,37,61,0,0,0,0,0,0
357,M15216,M,298,308,1398,49,63,0,0,0,0,0,0
358,L47537,L,298,308,1517,34,66,0,0,0,0,0,0
359,M15218,M,298,308,1467,37,68,0,0,0,0,0,0
360,M15219,M,298,308,1567,35,71,0,0,0,0,0,0
361,M15220,M,298,308,1521,38,74,0,0,0,0,0,0
362,L47541,L,298,308,1596,37,77,0,0,0,0,0,0
363,H29776,H,298,308,1640,31,79,0,0,0,0,0,0
364,L47543,L,298,308,1438,48,84,0,0,0,0,0,0
365,L47544,L,298,308,1407,55,86,0,0,0,0,0,0
366,L47545,L,298,308,1353,58,88,0,0,0,0,0,0
367,M15226,M,298,309,1552,41,90,0,0,0,0,0,0
368,M15227,M,298,308,1569,38,93,0,0,0,0,0,0
369,L47548,L,298,308,1489,40,96,0,0,0,0,0,0
370,H29783,H,298,308,1587,36,98,0,0,0,0,0,0
371,M15230,M,298,308,1622,37,103,0,0,0,0,0,0
372,L47551,L,298,308,1604,38,106,0,0,0,0,0,0
373,M15232,M,297,308,1405,52,108,0,0,0,0,0,0
374,L47553,L,297,308,1412,42,111,0,0,0,0,0,0
375,L47554,L,297,308,1431,43,113,0,0,0,0,0,0
376,L47555,L,297,308,1533,37,115,0,0,0,0,0,0
377,M15236,M,297,308,1401,52,117,0,0,0,0,0,0
378,M15237,M,297,308,1424,54,120,0,0,0,0,0,0
379,L47558,L,297,308,1754,29,123,0,0,0,0,0,0
380,L47559,L,297,308,1754,27,125,0,0,0,0,0,0
381,L47560,L,298,308,2564,13,127,1,0,0,1,0,0
382,L47561,L,298,309,1546,40,129,0,0,0,0,0,0
383,L47562,L,298,309,1335,48,131,0,0,0,0,0,0
384,M15243,M,298,309,1842,27,133,0,0,0,0,0,0
385,L47564,L,298,309,1712,27,136,0,0,0,0,0,0
386,M15245,M,298,309,1414,45,138,0,0,0,0,0,0
387,L47566,L,298,309,1319,51,141,0,0,0,0,0,0
388,L47567,L,298,309,1249,60,143,0,0,0,0,0,0
389,L47568,L,298,309,1455,48,145,0,0,0,0,0,0
390,M15249,M,298,309,1408,55,147,0,0,0,0,0,0
391,L47570,L,298,309,1460,47,150,0,0,0,0,0,0
392,L47571,L,298,309,1491,38,152,0,0,0,0,0,0
393,M15252,M,298,309,1490,43,154,0,0,0,0,0,0
394,M15253,M,298,308,1350,52,157,0,0,0,0,0,0
395,L47574,L,298,308,1528,40,160,0,0,0,0,0,0
396,L47575,L,297,308,1571,38,162,0,0,0,0,0,0
397,L47576,L,297,308,1490,43,164,0,0,0,0,0,0
398,M15257,M,297,308,1774,29,166,0,0,0,0,0,0
399,H29812,H,297,308,1502,44,169,0,0,0,0,0,0
400,L47579,L,297,308,1392,50,174,0,0,0,0,0,0
401,L47580,L,297,309,2100,17,176,0,0,0,0,0,0
402,L47581,L,298,309,1722,30,178,0,0,0,0,0,0
403,L47582,L,297,309,1678,32,180,0,0,0,0,0,0
404,L47583,L,297,309,1273,60,182,0,0,0,0,0,0
405,L47584,L,297,309,1297,46,184,0,0,0,0,0,0
406,L47585,L,297,309,1350,58,186,0,0,0,0,0,0
407,L47586,L,297,309,1439,52,188,0,0,0,0,0,0
408,M15267,M,297,309,1600,42,190,0,0,0,0,0,0
409,M15268,M,297,309,1434,44,193,0,0,0,0,0,0
410,L47589,L,297,309,1459,41,196,0,0,0,0,0,0
411,M15270,M,298,309,1472,45,198,0,0,0,0,0,0
412,L47591,L,298,309,1429,44,201,0,0,0,0,0,0
413,L47592,L,298,309,1388,48,203,0,0,0,0,0,0
414,L47593,L,297,308,1573,35,205,0,0,0,0,0,0
415,L47594,L,297,308,1588,33,207,0,0,0,0,0,0
416,L47595,L,298,308,1511,43,209,0,0,0,0,0,0
417,L47596,L,297,309,1495,38,211,0,0,0,0,0,0
418,L47597,L,297,308,1394,50,213,0,0,0,0,0,0
419,L47598,L,297,308,2151,18,0,0,0,0,0,0,0
420,M15279,M,297,308,1501,38,2,0,0,0,0,0,0
421,M15280,M,297,308,1301,40,5,0,0,0,0,0,0
422,M15281,M,297,308,1657,31,8,0,0,0,0,0,0
423,L47602,L,297,308,1333,55,11,0,0,0,0,0,0
424,L47603,L,297,308,1484,44,13,0,0,0,0,0,0
425,L47604,L,297,308,1430,46,15,0,0,0,0,0,0
426,M15285,M,297,308,1665,29,17,0,0,0,0,0,0
427,L47606,L,297,309,1501,45,20,0,0,0,0,0,0
428,M15287,M,298,309,1496,42,22,0,0,0,0,0,0
429,M15288,M,298,309,1595,37,25,0,0,0,0,0,0
430,L47609,L,298,309,1208,62,28,0,0,0,0,0,0
431,L47610,L,298,309,1596,37,30,0,0,0,0,0,0
432,L47611,L,298,309,1446,42,32,0,0,0,0,0,0
433,M15292,M,298,309,1466,40,34,0,0,0,0,0,0
434,M15293,M,298,309,1848,24,37,0,0,0,0,0,0
435,M15294,M,298,309,1484,45,40,0,0,0,0,0,0
436,L47615,L,297,308,1493,41,43,0,0,0,0,0,0
437,L47616,L,297,308,1504,36,45,0,0,0,0,0,0
438,L47617,L,297,308,1538,39,47,0,0,0,0,0,0
439,L47618,L,297,308,1341,52,49,0,0,0,0,0,0
440,M15299,M,297,308,1535,35,51,0,0,0,0,0,0
441,L47620,L,297,309,1389,39,54,0,0,0,0,0,0
442,H29855,H,298,309,1393,47,56,0,0,0,0,0,0
443,L47622,L,297,309,1399,62,61,1,0,0,1,0,0
