UDI,CITY
282,Dakar
283,Kinshasa
284,Mexico City
285,New York
286,Santiago
287,Cairo
288,Osaka-shi
289,Havana
290,Paris
291,Mumbai
292,Singapore
293,Delhi
294,Dhaka
295,Jakarta
296,Bogota
297,Bengaluru
298,Kolkata
299,Istanbul
300,Honolulu
301,Hanoi
302,Mexico City
303,Karachi
304,Bengaluru
305,Toronto
306,Sydney
307,Berlin
308,Jerusalem
309,Hanoi
310,Lima
311,Baghdad
312,Jerusalem
313,London
314,Tokyo
315,Baghdad
316,Kinshasa
317,Tokyo
318,Buenos Aires
319,Bogota
320,Dakar
321,Jerusalem
322,Belgrade
323,Singapore
324,Singapore
325,Bogota
326,Bogota
327,Cairo
329,Seoul
330,Reykjavik
331,Mumbai
332,Dhaka
333,Havana
334,Berlin
335,New York
336,Shanghai
337,Stockholm
338,London
339,Manila
340,Tokyo
341,Riyadh
342,Kabul
343,Reykjavik
344,Madrid
345,Santiago
346,Baghdad
347,Tehran
348,Dakar
349,Stockholm
350,Berlin
351,Delhi
352,Athens
353,Bengaluru
354,Cairo
355,Havana
356,Buenos Aires
357,Beijing
358,Bogota
359,Mexico City
360,Lima
361,Sydney
362,Amsterdam
363,Jakarta
364,Sydney
365,Bengaluru
366,Paris
367,Berlin
368,Kinshasa
369,São Paulo
370,New York
371,Osaka-shi
372,Cairo
373,Istanbul
374,Paris
375,Tokyo
376,Berlin
377,Athens
378,Riyadh
379,Buenos Aires
380,Madrid
382,Manila
383,Mumbai
384,Bengaluru
385,Stockholm
386,Tehran
387,Shanghai
388,Hanoi
389,Riyadh
390,Athens
391,Los Angeles
392,Karachi
393,Tokyo
394,Paris
395,Seoul
396,Mumbai
397,Riyadh
398,Seoul
399,Manila
400,Cape Town
401,Karachi
402,Santiago
403,Bengaluru
404,Jakarta
405,São Paulo
406,Tokyo
407,Shanghai
408,Dakar
409,Mumbai
410,Tokyo
411,Lima
412,Moscow
413,Hanoi
414,Cape Town
415,Toronto
416,Shanghai
417,Sydney
418,Kabul
419,Stockholm
420,Osaka-shi
421,Seoul
422,Taipei City
423,Kabul
424,Athens
425,Cairo
426,Reykjavik
427,Jakarta
428,Kolkata
429,Kabul
430,Stockholm
431,Karachi
432,Cape Town
433,Paris
434,Cairo
435,Santiago
436,Seoul
437,Beijing
438,Jakarta
439,Manila
440,Amsterdam
441,Manila
442,Hanoi
444,Mexico City
445,Manila
446,Cape Town
447,Osaka-shi
448,Paris
449,Manila
450,Shanghai
451,Bogota
452,Havana
453,Tehran
454,Jerusalem
455,Kolkata
456,Sydney
457,Kabul
458,Cape Town
459,Belgrade
460,Bangkok
461,São Paulo
462,Toronto
463,Moscow
465,Kinshasa
466,Delhi
467,Berlin
468,Cape Town
469,New York
470,Jakarta
471,Kolkata
472,Shanghai
473,Jerusalem
474,Taipei City
475,New York
476,Tokyo
477,Reykjavik
478,Istanbul
479,Jerusalem
480,Istanbul
481,Los Angeles
482,Moscow
483,Athens
484,Lima
485,Sydney
486,Reykjavik
487,Amsterdam
488,New York
489,Beijing
490,Baghdad
491,Mumbai
492,Jerusalem
493,Paris
494,Dakar
495,Mexico City
496,Berlin
497,Toronto
498,Baghdad
499,New York
500,Seoul
501,Tehran
502,Lima
503,Hong Kong
504,Berlin
505,Stockholm
506,Lima
507,Hanoi
508,Mumbai
509,Dhaka
510,Moscow
511,Honolulu
512,Lima
513,Jerusalem
514,Belgrade
515,Dakar
516,Singapore
517,Taipei City
518,Hong Kong
519,Manila
520,Beijing
521,Honolulu
522,Stockholm
523,Shanghai
524,Madrid
525,Paris
526,Kabul
527,Riyadh
528,São Paulo
529,Athens
530,Singapore
531,Manila
532,Berlin
533,Paris
534,New York
535,Jakarta
536,Riyadh
537,New York
538,Los Angeles
539,Kabul
540,Baghdad
541,Shanghai
542,Delhi
543,Athens
544,Istanbul
545,Jerusalem
546,Singapore
547,Tokyo
548,Cape Town
549,Istanbul
550,Madrid
551,Buenos Aires
552,São Paulo
553,Bangkok
554,Baghdad
555,Mumbai
556,Reykjavik
557,São Paulo
558,Los Angeles
559,Reykjavik
560,Istanbul
561,New York
562,Dhaka
563,Jerusalem
564,Mexico City
565,Lima
566,Istanbul
567,Cape Town
568,Paris
569,Singapore
570,Manila
571,Toronto
572,Santiago
573,Mumbai
574,Stockholm
575,Buenos Aires
576,Lima
577,Mexico City
578,Reykjavik
579,Mexico City
580,Lima
581,Madrid
582,Athens
583,Lima
584,Tehran
585,Karachi
586,Karachi
588,Cairo
589,Los Angeles
590,Berlin
591,Lima
592,Toronto
593,Kinshasa
594,Athens
595,Manila
596,Tokyo
597,Mexico City
598,Toronto
599,Reykjavik
600,London
601,Mumbai
602,Cape Town
603,Madrid
605,Manila
606,Cape Town
607,London
608,Singapore
609,Lima
610,Bangkok
611,Havana
612,Hanoi
613,Belgrade
614,Belgrade
615,Sydney
616,Buenos Aires
617,Toronto
618,Los Angeles
619,Jerusalem
620,New York
621,Seoul
622,Havana
623,Stockholm
624,Bogota
625,Kabul
626,Toronto
627,Istanbul
628,Jerusalem
629,Hong Kong
630,Singapore
631,Bogota
632,Sydney
633,Tehran
634,Mumbai
635,Delhi
636,Seoul
637,Belgrade
638,Delhi
639,Dhaka
640,Dhaka
641,Mumbai
642,Dakar
643,Shanghai
644,Dakar
645,Cape Town
646,Havana
647,Bogota
648,Lima
649,Kabul
650,New York
651,Sydney
652,São Paulo
653,Berlin
654,Bangkok
655,Mumbai
656,Mexico City
657,Los Angeles
658,Dhaka
659,Hanoi
660,Cape Town
661,Santiago
662,Riyadh
663,Athens
664,Santiago
665,Mexico City
666,Dhaka
667,Bengaluru
668,Honolulu
669,Berlin
670,Moscow
671,Baghdad
672,Kolkata
673,Belgrade
674,Bengaluru
675,Reykjavik
676,Toronto
677,Reykjavik
678,Mexico City
679,Berlin
680,Delhi
681,Seoul
682,Reykjavik
683,São Paulo
684,Kabul
685,Kolkata
686,Riyadh
687,Osaka-shi
688,Athens
689,Havana
690,Madrid
691,Jakarta
692,Bengaluru
693,Bengaluru
694,Karachi
695,Havana
696,Singapore
697,Bogota
698,Los Angeles
699,Reykjavik
700,Mexico City
701,Mumbai
702,São Paulo
703,Baghdad
704,Baghdad
705,Osaka-shi
706,Jerusalem
707,Havana
708,Mexico City
709,Bogota
710,Istanbul
711,Baghdad
712,Santiago
713,Tehran
714,Bangkok
715,Paris
716,Belgrade
717,Dhaka
718,Manila
719,Bengaluru
720,Beijing
721,Karachi
722,Kolkata
723,Jerusalem
724,Istanbul
725,Amsterdam
726,Cape Town
727,Bengaluru
728,Singapore
729,Amsterdam
730,Bengaluru
731,Reykjavik
732,Berlin
733,Riyadh
734,Cairo
735,Honolulu
736,Jerusalem
737,Tehran
738,Stockholm
739,Toronto
740,Stockholm
741,Cairo
742,New York
743,Riyadh
744,Tehran
745,Delhi
746,Toronto
748,Buenos Aires
749,Cairo
750,Beijing
751,Taipei City
752,Cairo
753,London
754,Havana
755,Osaka-shi
756,Manila
757,Amsterdam
758,Berlin
759,Cairo
760,Mumbai
761,Tehran
762,Baghdad
763,Moscow
764,Tehran
765,Delhi
766,Berlin
767,Paris
768,Honolulu
769,Honolulu
770,Bangkok
771,Madrid
772,Beijing
773,Kabul
774,Berlin
775,Bogota
776,Tehran
777,Cape Town
778,Sydney
779,Singapore
780,Mumbai
781,Beijing
782,Havana
783,Delhi
784,Jakarta
785,Bengaluru
786,Honolulu
787,Berlin
788,Cairo
789,Honolulu
790,Kabul
791,São Paulo
792,Havana
793,Sydney
794,Singapore
795,Istanbul
796,Athens
797,Tehran
798,Delhi
799,Hanoi
800,Singapore
801,Lima
802,Buenos Aires
803,Lima
804,Hanoi
805,Cape Town
806,New York
807,Athens
808,Cape Town
809,Karachi
810,Beijing
811,Bengaluru
812,Kabul
813,Los Angeles
814,Mumbai
815,Beijing
816,Kolkata
817,Paris
818,Lima
819,Cape Town
820,Berlin
821,Taipei City
822,Havana
823,Delhi
824,Manila
825,Jerusalem
826,Reykjavik
827,Taipei City
828,Bengaluru
829,Riyadh
830,Taipei City
831,Cape Town
832,Baghdad
833,Amsterdam
834,Osaka-shi
835,Shanghai
836,New York
837,Toronto
838,Athens
839,Hong Kong
840,Riyadh
841,Mumbai
842,Honolulu
843,Dakar
844,Berlin
845,Istanbul
846,Shanghai
847,Tehran
849,Manila
850,São Paulo
851,Delhi
852,Hong Kong
853,Beijing
854,Karachi
855,Manila
856,Havana
857,Havana
858,Cairo
859,Dhaka
860,Jerusalem
861,Hong Kong
862,Belgrade
863,Bogota
864,Hanoi
865,Amsterdam
866,Delhi
867,Amsterdam
868,Seoul
869,Tehran
870,Kinshasa
871,New York
872,Havana
873,Baghdad
874,Hong Kong
875,Athens
876,Manila
877,Los Angeles
878,Toronto
879,Dakar
880,Beijing
882,Bogota
883,Kinshasa
884,Paris
885,Karachi
886,Madrid
887,Hong Kong
888,Athens
889,Madrid
890,Singapore
891,Stockholm
892,London
893,Madrid
894,Dakar
895,Havana
896,Jakarta
897,Paris
898,Santiago
899,Osaka-shi
900,Baghdad
901,Moscow
902,Kinshasa
903,Manila
905,Toronto
906,Cape Town
907,Dakar
908,Dakar
909,Mumbai
910,Toronto
911,Moscow
912,Bangkok
913,Reykjavik
914,Manila
915,Taipei City
916,Buenos Aires
917,Mumbai
918,Bengaluru
919,Kabul
920,Tehran
921,Lima
922,Jakarta
923,Toronto
924,Bogota
925,Jakarta
926,Riyadh
928,Belgrade
929,Berlin
930,Santiago
931,Karachi
932,Honolulu
933,Kinshasa
934,Baghdad
935,Havana
936,Lima
937,Mumbai
938,Dhaka
939,Madrid
940,Mexico City
941,Baghdad
942,Santiago
943,Honolulu
944,Paris
945,Moscow
946,Delhi
947,Mumbai
948,Stockholm
949,Seoul
950,Tehran
951,Bogota
952,São Paulo
953,Jakarta
954,Madrid
955,Kinshasa
956,Kolkata
957,Kolkata
958,Manila
959,Athens
960,Bangkok
961,Hong Kong
962,London
963,Los Angeles
964,Los Angeles
965,Bangkok
966,Manila
967,Karachi
968,Berlin
969,Paris
970,Kolkata
971,Osaka-shi
972,São Paulo
973,Cape Town
974,Paris
975,Riyadh
976,Mexico City
977,Kolkata
978,Athens
979,Amsterdam
980,Moscow
981,Karachi
982,Belgrade
983,São Paulo
984,Stockholm
985,Santiago
986,Cape Town
987,Karachi
988,Santiago
989,Jerusalem
990,Cape Town
991,New York
992,Sydney
993,Cairo
994,Jerusalem
995,Jerusalem
996,São Paulo
997,Singapore
998,New York
999,Mumbai
1000,Kolkata
1001,Istanbul
1002,Paris
1003,Madrid
1004,Taipei City
1005,Toronto
1006,Karachi
1007,Athens
1008,Tokyo
1009,Riyadh
1010,Singapore
1011,Delhi
1012,Bengaluru
1013,Mexico City
1014,Reykjavik
1015,Dhaka
1016,New York
1018,Hong Kong
1019,Honolulu
1020,Buenos Aires
1021,Taipei City
1022,Cape Town
1023,London
1024,London
1025,Dhaka
1026,Hanoi
1027,Riyadh
1028,Dakar
1029,Havana
1030,Kabul
1031,London
1032,Reykjavik
1033,Karachi
1034,Kabul
1035,Seoul
1036,Kinshasa
1037,London
1038,Bogota
1039,Riyadh
1040,London
1041,Bogota
1042,Jerusalem
1043,Athens
1044,Dakar
1045,Hong Kong
1046,Singapore
1047,Osaka-shi
1048,Bengaluru
1049,New York
1050,Reykjavik
1051,Tehran
1052,Cairo
1053,Mumbai
1054,Riyadh
1055,Honolulu
1056,Bangkok
1057,Mumbai
1058,Bogota
1059,Cairo
1060,Paris
1061,Istanbul
1062,Reykjavik
1063,Los Angeles
1064,Cape Town
1065,Istanbul
1066,Kolkata
1067,Berlin
1068,Stockholm
1069,Delhi
1070,Singapore
1071,Riyadh
1072,Madrid
1073,Kabul
1074,Havana
1075,Mumbai
1076,Honolulu
1077,Honolulu
1078,Kinshasa
1079,Mumbai
1080,Cairo
1081,New York
1082,Mexico City
1083,Moscow
1084,Dakar
1085,Hong Kong
1087,Stockholm
1089,Madrid
1090,Hong Kong
1091,Karachi
1092,Seoul
1093,Moscow
1094,New York
1095,Cape Town
1097,Madrid
1098,São Paulo
1099,London
1100,Mumbai
1101,Istanbul
1102,Stockholm
1103,Riyadh
1104,Delhi
1105,Istanbul
1106,Jakarta
1107,London
1108,Athens
1109,Mumbai
1110,Delhi
1111,Belgrade
1112,Berlin
1113,Karachi
1114,Hanoi
1115,Istanbul
1116,Stockholm
1117,Cairo
1118,Kolkata
1119,Taipei City
1120,Riyadh
1121,Karachi
1122,Mexico City
1123,Mumbai
1126,Manila
1127,Paris
1128,Havana
1129,Reykjavik
1130,Bangkok
1131,Tokyo
1132,Moscow
1133,Moscow
1134,Athens
1135,Baghdad
1136,Taipei City
1137,Buenos Aires
1138,Baghdad
1139,Mumbai
1140,Seoul
1141,Baghdad
1142,Athens
1143,Amsterdam
1144,Osaka-shi
1146,Taipei City
1147,Istanbul
1148,Berlin
1149,Dakar
1150,Istanbul
1151,London
1152,Jerusalem
1153,Los Angeles
1154,Berlin
1155,New York
1156,Osaka-shi
1157,Mumbai
1158,Belgrade
1159,Toronto
1160,Jerusalem
1161,Kolkata
1164,Santiago
1165,Kabul
1166,Dhaka
1167,Athens
1169,Jerusalem
1170,Mexico City
1171,Seoul
1172,Baghdad
1173,Cairo
1174,Mumbai
1175,Kabul
1176,Buenos Aires
1177,Shanghai
1178,Dhaka
1179,Manila
1180,Reykjavik
1181,Osaka-shi
1182,Madrid
1183,Santiago
1184,Tokyo
1185,Lima
1186,Cairo
1187,Bengaluru
1188,London
1189,Sydney
1190,Athens
1191,Tokyo
1192,Moscow
1193,Berlin
1194,New York
1195,Santiago
1196,Jerusalem
1197,Riyadh
1198,Cape Town
1199,Moscow
1200,Baghdad
1201,Hong Kong
1202,Mumbai
1203,Riyadh
1204,New York
1205,Cape Town
1206,Cairo
1207,Taipei City
1208,Bogota
1209,Amsterdam
1210,Paris
1211,Kabul
1212,Tokyo
1213,Lima
1214,Seoul
1215,Bogota
1216,Buenos Aires
1217,Stockholm
1218,Singapore
1219,Cape Town
1220,Dhaka
1221,Bangkok
1222,London
1223,Hong Kong
1224,Buenos Aires
1225,Manila
1226,Reykjavik
1227,Bengaluru
1228,Hanoi
1229,Mexico City
1230,Stockholm
1231,Havana
1232,Los Angeles
1233,London
1234,Madrid
1235,Reykjavik
1236,Shanghai
1237,Seoul
1238,São Paulo
1239,Paris
1240,Toronto
1241,Belgrade
1242,Mexico City
1243,Hong Kong
1244,Manila
1245,Athens
1246,Bengaluru
1247,Santiago
1248,Toronto
1249,Kinshasa
1250,São Paulo
1251,New York
1252,Toronto
1253,Manila
1254,Sydney
1255,Paris
1256,Cape Town
1257,Hong Kong
1258,New York
1259,Karachi
1260,Hanoi
1261,Taipei City
1262,Delhi
1263,São Paulo
1264,Amsterdam
1265,Manila
1266,Shanghai
1267,Amsterdam
1268,São Paulo
1269,Mumbai
1270,Havana
1271,Hanoi
1272,Reykjavik
1273,Madrid
1274,Dhaka
1275,Osaka-shi
1276,Mumbai
1277,Lima
1278,London
1279,London
1280,São Paulo
1281,Santiago
1282,Bengaluru
1283,Kabul
1284,Honolulu
1286,Delhi
1287,Osaka-shi
1288,Athens
1289,Karachi
1290,Karachi
1291,Dakar
1292,Los Angeles
1293,Berlin
1294,Cairo
1295,Jerusalem
1296,Hanoi
1297,London
1298,Cairo
1299,Hanoi
1300,Manila
1301,Dhaka
1302,Mexico City
1303,Manila
1304,Kinshasa
1305,Mumbai
1306,Bogota
1307,Singapore
1308,Tokyo
1309,Kinshasa
1310,Santiago
1311,Tokyo
1312,Dakar
1313,Buenos Aires
1314,Toronto
1315,Hanoi
1316,Bogota
1317,New York
1318,Beijing
1319,Mumbai
1320,Jerusalem
1321,Lima
1322,Bogota
1323,Santiago
1324,Jerusalem
1326,Reykjavik
1327,Osaka-shi
1328,Mexico City
1329,Delhi
1330,Kinshasa
1331,Hanoi
1332,Paris
1333,Sydney
1334,Karachi
1337,Madrid
1338,Berlin
1339,Bangkok
1340,Sydney
1341,Havana
1342,Honolulu
1343,Dhaka
1344,Mumbai
1345,Istanbul
1346,Cape Town
1347,Beijing
1348,Karachi
1349,Los Angeles
1350,Lima
1351,Reykjavik
1352,São Paulo
1353,Paris
1354,Belgrade
1355,Athens
1356,Karachi
1357,Seoul
1358,Shanghai
1359,Hanoi
1360,Baghdad
1361,Mumbai
1362,Osaka-shi
1363,Moscow
1364,Hanoi
1365,Hong Kong
1366,Beijing
1367,Delhi
1368,Karachi
1369,Bogota
1370,Honolulu
1371,Tehran
1372,Beijing
1373,Honolulu
1374,Hanoi
1375,Taipei City
1376,Riyadh
1377,Bengaluru
1378,Baghdad
1379,Osaka-shi
1380,New York
1381,Cairo
1382,Dakar
1383,Bangkok
1384,Bengaluru
1385,Toronto
1386,Los Angeles
1387,Tehran
1388,Taipei City
1389,Dakar
1390,London
1391,Karachi
1393,São Paulo
1394,Cape Town
1395,Reykjavik
1396,Reykjavik
1397,Shanghai
1398,Mexico City
1399,Istanbul
1400,Lima
1401,Beijing
1402,Karachi
1403,Mexico City
1404,Manila
1405,Dhaka
1406,Cairo
1407,Jerusalem
1408,Bangkok
1409,Tehran
1410,Istanbul
1411,Mumbai
1412,Los Angeles
1413,Dakar
1414,Jerusalem
1415,Honolulu
1416,Cairo
1417,New York
1418,Hong Kong
1419,Baghdad
1421,Riyadh
1422,Kolkata
1423,Dakar
1424,Karachi
1425,Istanbul
1426,Dhaka
1427,Shanghai
1428,Riyadh
1429,Kinshasa
1430,Belgrade
1431,Singapore
1432,Tokyo
1433,Jakarta
1434,Taipei City
1435,Madrid
1436,Cape Town
1437,Bengaluru
1439,Cape Town
1440,Beijing
1441,Reykjavik
1442,Paris
1443,Bengaluru
1444,Buenos Aires
1445,Taipei City
1446,Jakarta
1447,Karachi
1448,Moscow
1449,Buenos Aires
1450,Cape Town
1451,Kabul
1452,Honolulu
1453,Cairo
1454,Paris
1455,Los Angeles
1456,New York
1457,Santiago
1458,Lima
1459,London
1460,Honolulu
1461,Belgrade
1462,Dhaka
1463,London
1464,Bengaluru
1465,Moscow
1466,Delhi
1467,Berlin
1468,Reykjavik
1469,Baghdad
1470,Havana
1471,Tokyo
1472,Baghdad
1473,Dakar
1474,London
1475,Santiago
1476,Jakarta
1477,Los Angeles
1478,Havana
1479,Havana
1480,Cairo
1481,São Paulo
1482,Moscow
1483,Jerusalem
1484,Beijing
1485,Los Angeles
1486,Mumbai
1487,Stockholm
1488,Amsterdam
1489,Mumbai
1490,Kolkata
1491,Cape Town
1492,Belgrade
1494,Santiago
1495,Athens
1496,Cape Town
1498,Baghdad
1499,Havana
1500,Riyadh
1501,Belgrade
1502,Bangkok
1503,Amsterdam
1504,Dakar
1505,Mumbai
1506,Madrid
1507,Lima
1508,Beijing
1509,Seoul
1511,Manila
1512,Sydney
1513,Kolkata
1514,Stockholm
1515,Mumbai
1516,Jakarta
1517,Bogota
1518,Jakarta
1519,Beijing
1520,Los Angeles
1521,Amsterdam
1522,Berlin
1523,Taipei City
1524,Karachi
1525,Osaka-shi
1526,Hong Kong
1527,Shanghai
1528,Dhaka
1529,Osaka-shi
1530,Tokyo
1531,Beijing
1532,Osaka-shi
1533,Kolkata
1534,Riyadh
1535,Manila
1536,Bangkok
1537,Beijing
1538,Santiago
1539,Kolkata
1540,Buenos Aires
1541,Toronto
1542,Beijing
1543,Seoul
1544,Kinshasa
1545,Karachi
1546,Osaka-shi
1547,Reykjavik
1548,São Paulo
1549,Bogota
1550,Beijing
1551,Jakarta
1552,Hanoi
1553,Taipei City
1554,Dakar
1555,Istanbul
1556,Lima
1557,Hong Kong
1558,Belgrade
1559,Bogota
1560,Reykjavik
1561,Bengaluru
1562,Paris
1563,New York
1564,London
1565,Kolkata
1566,Honolulu
1567,Dhaka
1568,Bogota
1569,Bengaluru
1570,Los Angeles
1571,Santiago
1572,Kabul
1573,Berlin
1574,Seoul
1575,Athens
1576,Paris
1577,Jerusalem
1578,Bogota
1579,Santiago
1580,Cairo
1581,Istanbul
1582,Istanbul
1583,Osaka-shi
1585,Bangkok
1586,Madrid
1587,Buenos Aires
1588,Havana
1589,Tokyo
1590,Toronto
1591,Tehran
1592,Toronto
1593,Taipei City
1594,Moscow
1595,Seoul
1597,Kolkata
1598,Lima
1599,Karachi
1600,Santiago
1601,Sydney
1602,Havana
1603,Cape Town
1604,Jerusalem
1605,Tokyo
1606,Tehran
1607,Cape Town
1608,Jakarta
1609,Shanghai
1610,Moscow
1611,Havana
1612,Istanbul
1613,São Paulo
1614,Belgrade
1615,Osaka-shi
1616,Dhaka
1617,Athens
1618,New York
1619,Tokyo
1620,Tokyo
1621,Buenos Aires
1622,Osaka-shi
1623,Jakarta
1624,Kolkata
1625,Athens
1626,Tehran
1627,Moscow
1628,Honolulu
1629,Singapore
1630,Delhi
1631,Osaka-shi
1632,Cairo
1633,Delhi
1634,Los Angeles
1635,Reykjavik
1636,Toronto
1637,São Paulo
1638,Istanbul
1639,Bogota
1640,Manila
1641,London
1642,Kabul
1643,Osaka-shi
1644,Madrid
1645,Jerusalem
1646,Taipei City
1647,Cape Town
1648,Santiago
1649,Singapore
1650,Delhi
1651,Singapore
1652,London
1653,Manila
1654,Kolkata
1655,Riyadh
1656,Belgrade
1657,Madrid
1658,Beijing
1659,Seoul
1660,Baghdad
1661,Cape Town
1662,Kabul
1663,Honolulu
1664,Toronto
1665,Kabul
1666,Cape Town
1667,Manila
1668,Kolkata
1669,Santiago
1670,Buenos Aires
1671,Tokyo
1672,Manila
1673,London
1674,New York
1675,Mexico City
1676,Amsterdam
1677,Athens
1678,Kolkata
1679,Paris
1680,Cape Town
1681,Bangkok
1682,Seoul
1684,Tehran
1685,Hanoi
1686,Moscow
1687,Sydney
1688,Karachi
1689,Berlin
1690,Moscow
1691,Bogota
1692,Reykjavik
1693,Honolulu
1694,London
1695,Manila
1696,Reykjavik
1697,Madrid
1698,Moscow
1699,Kinshasa
1700,Buenos Aires
1701,Sydney
1702,Bangkok
1703,Kinshasa
1704,New York
1705,Bengaluru
1706,Dhaka
1707,New York
1708,Bogota
1709,Mexico City
1710,Dakar
1711,Dakar
1712,Reykjavik
1713,Osaka-shi
1714,Manila
1715,Shanghai
1716,Delhi
1717,Hanoi
1718,Los Angeles
1719,Santiago
1720,Mexico City
1721,Bengaluru
1722,Tehran
1723,Kinshasa
1724,Karachi
1725,Santiago
1726,Manila
1727,Madrid
1728,Lima
1729,Taipei City
1730,Seoul
1731,Reykjavik
1732,Shanghai
1733,Jerusalem
1734,Kolkata
1735,Paris
1736,Honolulu
1737,Beijing
1738,Osaka-shi
1739,Hanoi
1740,Cairo
1741,Lima
1742,Stockholm
1743,Stockholm
1744,Riyadh
1745,Bangkok
1746,Los Angeles
1747,Dakar
1748,Beijing
1749,Hong Kong
1750,Moscow
1751,London
1752,Lima
1753,Mexico City
1754,Taipei City
1755,Bengaluru
1756,Lima
1757,Taipei City
1758,Reykjavik
1759,Tehran
1760,Bengaluru
1761,Delhi
1762,Toronto
1763,Manila
1765,Tokyo
1766,Lima
1767,Beijing
1768,Amsterdam
1769,Amsterdam
1770,Bengaluru
1771,Stockholm
1772,Cape Town
1773,Beijing
1774,Baghdad
1775,Istanbul
1776,Kinshasa
1777,Madrid
1778,Lima
1779,Karachi
1780,Athens
1781,Santiago
1782,Mumbai
1783,Beijing
1784,Baghdad
1786,Bengaluru
1787,Bogota
1788,Jakarta
1789,Istanbul
1791,Kinshasa
1792,Taipei City
1793,Karachi
1794,Mumbai
1795,Moscow
1796,Belgrade
1797,Jerusalem
1798,Cairo
1799,Berlin
1800,Madrid
1801,Santiago
1802,Jakarta
1803,Havana
1804,Bengaluru
1805,Bangkok
1806,Karachi
1807,Kinshasa
